k,mean_seed,std_seed,mean_sensitivity,std_sensitivity,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_latency_ms,std_latency_ms,mean_n_events,std_n_events,mean_fp_events,std_fp_events,mean_tp_events,std_tp_events,n
3.0,46.5,3.0276503540974917,1.0,0.0,0.0,0.0,74.0000000000001,7.071067811865538,1.3,0.48304589153964794,0.0,0.0,1.3,0.48304589153964794,10
4.0,46.5,3.0276503540974917,1.0,0.0,0.0,0.0,76.00000000000011,4.830458915396596,1.2,0.4216370213557839,0.0,0.0,1.2,0.4216370213557839,10
5.0,46.5,3.0276503540974917,1.0,0.0,0.0,0.0,79.00000000000016,4.714045207910323,1.2,0.4216370213557839,0.0,0.0,1.2,0.4216370213557839,10
6.0,46.5,3.0276503540974917,1.0,0.0,0.0,0.0,83.00000000000016,6.992058987800974,1.2,0.4216370213557839,0.0,0.0,1.2,0.4216370213557839,10
7.0,46.5,3.0276503540974917,1.0,0.0,0.0,0.0,89.00000000000011,8.164965809277266,1.4,0.6992058987801011,0.0,0.0,1.4,0.6992058987801011,10
