scenario,mean_seed,std_seed,mean_k,std_k,mean_sensitivity,std_sensitivity,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_latency_ms,std_latency_ms,mean_lfp_power_suppression_pct,std_lfp_power_suppression_pct,mean_e_rate_suppression_pct,std_e_rate_suppression_pct,mean_runaway_duration_reduction_pct,std_runaway_duration_reduction_pct,mean_n_pulses,std_n_pulses,mean_duty_cycle,std_duty_cycle,mean_burden_nS_s,std_burden_nS_s,mean_open_eval_rate_hz,std_open_eval_rate_hz,mean_closed_eval_rate_hz,std_closed_eval_rate_hz,n,mean_artifact_count
Baseline,46.5,3.0276503540974917,4.0,0.0,1.0,0.0,0.0,0.0,76.00000000000011,4.830458915396596,25.06345556237445,7.6458626437121495,27.724097033670365,7.742429900708714,22.864446254261658,7.482017462823588,4.5,1.0801234497346435,0.1125,0.027003086243366083,11.25,2.7003086243366083,68.365125,14.215403146396635,49.9570625,15.205313907028843,10,
Noisy LFP 10 dB,46.5,3.0276503540974917,4.0,0.0,1.0,0.0,0.0,0.0,84.00000000000013,9.718253158075523,25.344525317849563,7.688532320323113,27.79673643096436,8.046306510754565,23.36806405478591,7.881428763672464,4.4,1.3498971154211057,0.10999999999999999,0.03374742788552765,11.0,3.3747427885527643,68.365125,14.215403146396635,49.943,15.491801659130331,10,
Parameter shifted,46.5,3.0276503540974917,4.0,0.0,1.0,0.0,0.0,0.0,76.00000000000011,4.830458915396596,9.802826911476497,0.6902103186957357,9.892758280960802,0.4451637885864343,6.0595172899976095,0.33421096729525857,2.1,0.31622776601683794,0.052500000000000005,0.007905694150420951,5.25,0.7905694150420949,137.88831249999998,7.064996289721936,124.2421875,6.2988696644302085,10,
Long no-runaway,,,,,nan,nan,348.0,78.23042886243178,nan,nan,nan,nan,nan,nan,nan,nan,4.8,0.4472135954999579,0.008,0.0007453559924999296,12.0,1.118033988749895,,,,,5,7.6
