seed,scenario,k,sensitivity,false_alarms_per_hour,latency_ms,lfp_power_suppression_pct,e_rate_suppression_pct,runaway_duration_reduction_pct,n_pulses,duty_cycle,burden_nS_s,open_eval_rate_hz,closed_eval_rate_hz
42,Baseline,4.0,1.0,0.0,79.00000000000018,29.973770880000963,30.463965456430422,25.76234507180799,5,0.125,12.5,58.476875,40.6625
43,Baseline,4.0,1.0,0.0,79.00000000000018,32.01367977811411,32.160523712295024,28.22296238244514,5,0.125,12.5,59.38375,40.285625
44,Baseline,4.0,1.0,0.0,79.00000000000018,32.37739312506807,30.81889490623856,26.386587386684862,5,0.125,12.5,64.85875,44.87
45,Baseline,4.0,1.0,0.0,79.00000000000018,29.65271514059959,28.717001629549163,26.985235434956106,5,0.125,12.5,57.53125,41.01
46,Baseline,4.0,1.0,0.0,79.00000000000018,28.90305113921502,29.660109231666585,26.275936670272397,5,0.125,12.5,58.934375,41.454375
47,Baseline,4.0,1.0,0.0,79.00000000000018,18.903442227725026,19.679740078904626,12.485345838218054,3,0.07500000000000001,7.5,86.18,69.22
48,Baseline,4.0,1.0,0.0,68.99999999999994,20.230324411167107,39.50466818636634,28.60223485591061,5,0.125,12.5,83.075625,50.256875
49,Baseline,4.0,1.0,0.0,68.99999999999994,27.77435091894094,28.88322055967043,25.56666336731664,5,0.125,12.5,58.56125,41.646875
50,Baseline,4.0,1.0,0.0,68.99999999999994,22.789139202719074,26.721563011456627,22.14257268020709,5,0.125,12.5,61.1,44.773125
51,Baseline,4.0,1.0,0.0,79.00000000000018,8.016688800194588,10.631283564125875,6.214578854797733,2,0.05,5.0,95.549375,85.39125
42,Noisy LFP 10 dB,4.0,1.0,0.0,88.99999999999997,30.47714796996889,30.444727082286807,28.241196144009443,5,0.125,12.5,58.476875,40.67375
43,Noisy LFP 10 dB,4.0,1.0,0.0,79.00000000000018,32.01367977811411,32.160523712295024,28.22296238244514,5,0.125,12.5,59.38375,40.285625
44,Noisy LFP 10 dB,4.0,1.0,0.0,99.0000000000002,32.85758577777195,31.389365351629504,27.946193586119506,5,0.125,12.5,64.85875,44.5
45,Noisy LFP 10 dB,4.0,1.0,0.0,88.99999999999997,30.362126380069213,29.52417164584465,28.611332801276934,5,0.125,12.5,57.53125,40.545625
46,Noisy LFP 10 dB,4.0,1.0,0.0,79.00000000000018,28.90305113921502,29.660109231666585,26.275936670272397,5,0.125,12.5,58.934375,41.454375
47,Noisy LFP 10 dB,4.0,1.0,0.0,79.00000000000018,18.701344260107607,19.674663495010456,12.456037514654163,3,0.07500000000000001,7.5,86.18,69.224375
48,Noisy LFP 10 dB,4.0,1.0,0.0,79.00000000000018,19.14970363257742,39.664161419188844,28.406194863752205,5,0.125,12.5,83.075625,50.124375
49,Noisy LFP 10 dB,4.0,1.0,0.0,68.99999999999994,27.77435091894094,28.88322055967043,25.56666336731664,5,0.125,12.5,58.56125,41.646875
50,Noisy LFP 10 dB,4.0,1.0,0.0,79.00000000000018,24.530274080548725,26.8934124386252,22.0131421744325,5,0.125,12.5,61.1,44.668125
51,Noisy LFP 10 dB,4.0,1.0,0.0,99.0000000000002,8.675989241181734,9.673009373426035,5.940981043580223,1,0.025,2.5,95.549375,86.306875
42,Parameter shifted,4.0,1.0,0.0,79.00000000000018,10.283084916333141,10.353877452762063,6.326390925980248,2,0.05,5.0,132.408125,118.69875
43,Parameter shifted,4.0,1.0,0.0,68.99999999999994,9.759967486391501,9.817370668265141,6.232876712328767,2,0.05,5.0,127.204375,114.71625
44,Parameter shifted,4.0,1.0,0.0,79.00000000000018,10.660407746792858,9.990459435093534,5.363237445148708,2,0.05,5.0,142.81125,128.54375
45,Parameter shifted,4.0,1.0,0.0,79.00000000000018,8.831092178412874,9.222287562481615,6.0154795728421675,2,0.05,5.0,127.5375,115.775625
46,Parameter shifted,4.0,1.0,0.0,79.00000000000018,9.942317396805526,9.554181672482631,6.157755840093833,2,0.05,5.0,134.149375,121.3325
47,Parameter shifted,4.0,1.0,0.0,79.00000000000018,10.173440795766956,9.67154296733347,5.839201877934272,2,0.05,5.0,146.499375,132.330625
48,Parameter shifted,4.0,1.0,0.0,68.99999999999994,9.180169036280894,9.406493517651416,6.64966653589643,2,0.05,5.0,145.49125,131.805625
49,Parameter shifted,4.0,1.0,0.0,79.00000000000018,10.772234714878307,10.293022761114656,6.0336397418345395,2,0.05,5.0,141.03,126.51375
50,Parameter shifted,4.0,1.0,0.0,79.00000000000018,9.52481205707113,9.993651582886804,5.991594174567491,2,0.05,5.0,140.783125,126.71375
51,Parameter shifted,4.0,1.0,0.0,68.99999999999994,8.900742786031797,10.624695189536693,5.985330073349633,3,0.07500000000000001,7.5,140.96875,125.99125
