k,mean_seed,std_seed,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_fp_events,std_fp_events,mean_n_events,std_n_events,mean_artifact_count,std_artifact_count,mean_n_pulses,std_n_pulses,mean_duty_cycle,std_duty_cycle,mean_burden_nS_s,std_burden_nS_s,mean_duration_s,std_duration_s,n
1.5,44.0,1.5811388300841898,2136.0,648.4442921331022,35.6,10.807404868885037,35.6,10.807404868885037,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
1.75,44.0,1.5811388300841898,1704.0,658.0881399934207,28.4,10.96813566655701,28.4,10.96813566655701,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
2.0,44.0,1.5811388300841898,1320.0,680.147042925278,22.0,11.335784048754634,22.0,11.335784048754634,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
2.25,44.0,1.5811388300841898,1056.0,558.9991055449016,17.6,9.316651759081692,17.6,9.316651759081692,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
2.5,44.0,1.5811388300841898,864.0,438.0410939626555,14.4,7.3006848993775915,14.4,7.3006848993775915,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
2.75,44.0,1.5811388300841898,672.0,259.4609797252758,11.2,4.324349662087931,11.2,4.324349662087931,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
3.0,44.0,1.5811388300841898,528.0,155.3061492665374,8.8,2.588435821108957,8.8,2.588435821108957,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
3.25,44.0,1.5811388300841898,480.0,127.27922061357856,8.0,2.1213203435596424,8.0,2.1213203435596424,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
3.5,44.0,1.5811388300841898,480.0,127.27922061357856,8.0,2.1213203435596424,8.0,2.1213203435596424,7.6,2.3021728866442674,5.0,0.0,0.008333333333333333,0.0,12.5,0.0,60.0,0.0,5
3.75,44.0,1.5811388300841898,408.0,115.41230437002807,6.8,1.9235384061671346,6.8,1.9235384061671346,7.6,2.3021728866442674,4.8,0.4472135954999579,0.008,0.0007453559924999296,12.0,1.118033988749895,60.0,0.0,5
4.0,44.0,1.5811388300841898,348.0,78.23042886243178,5.8,1.3038404810405297,5.8,1.3038404810405297,7.6,2.3021728866442674,4.8,0.4472135954999579,0.008,0.0007453559924999296,12.0,1.118033988749895,60.0,0.0,5
4.25,44.0,1.5811388300841898,312.0,50.19960159204453,5.2,0.8366600265340756,5.2,0.8366600265340756,7.6,2.3021728866442674,4.8,0.4472135954999579,0.008,0.0007453559924999296,12.0,1.118033988749895,60.0,0.0,5
4.5,44.0,1.5811388300841898,240.0,60.0,4.0,1.0,4.0,1.0,7.6,2.3021728866442674,4.0,1.0,0.006666666666666668,0.0016666666666666661,10.0,2.5,60.0,0.0,5
4.75,44.0,1.5811388300841898,192.0,78.23042886243178,3.2,1.3038404810405297,3.2,1.3038404810405297,7.6,2.3021728866442674,3.2,1.3038404810405297,0.005333333333333334,0.0021730674684008826,8.0,3.2596012026013246,60.0,0.0,5
5.0,44.0,1.5811388300841898,168.0,98.5900603509299,2.8,1.6431676725154984,2.8,1.6431676725154984,7.6,2.3021728866442674,2.8,1.6431676725154984,0.004666666666666667,0.0027386127875258306,7.0,4.107919181288746,60.0,0.0,5
5.25,44.0,1.5811388300841898,144.0,68.41052550594829,2.4,1.140175425099138,2.4,1.140175425099138,7.6,2.3021728866442674,2.4,1.140175425099138,0.004000000000000001,0.00190029237516523,6.0,2.850438562747845,60.0,0.0,5
5.5,44.0,1.5811388300841898,120.0,94.86832980505137,2.0,1.5811388300841898,2.0,1.5811388300841898,7.6,2.3021728866442674,2.0,1.5811388300841898,0.003333333333333334,0.00263523138347365,5.0,3.952847075210474,60.0,0.0,5
5.75,44.0,1.5811388300841898,108.0,107.33126291998991,1.8,1.7888543819998317,1.8,1.7888543819998317,7.6,2.3021728866442674,1.8,1.7888543819998317,0.0030000000000000005,0.00298142396999972,4.5,4.47213595499958,60.0,0.0,5
6.0,44.0,1.5811388300841898,84.0,100.39920318408906,1.4,1.6733200530681511,1.4,1.6733200530681511,7.6,2.3021728866442674,1.4,1.6733200530681511,0.0023333333333333335,0.002788866755113585,3.5,4.183300132670378,60.0,0.0,5
6.25,44.0,1.5811388300841898,84.0,100.39920318408906,1.4,1.6733200530681511,1.4,1.6733200530681511,7.6,2.3021728866442674,1.4,1.6733200530681511,0.0023333333333333335,0.002788866755113585,3.5,4.183300132670378,60.0,0.0,5
6.5,44.0,1.5811388300841898,60.0,84.8528137423857,1.0,1.4142135623730951,1.0,1.4142135623730951,7.6,2.3021728866442674,1.0,1.4142135623730951,0.001666666666666667,0.0023570226039551587,2.5,3.5355339059327378,60.0,0.0,5
6.75,44.0,1.5811388300841898,60.0,84.8528137423857,1.0,1.4142135623730951,1.0,1.4142135623730951,7.6,2.3021728866442674,1.0,1.4142135623730951,0.001666666666666667,0.0023570226039551587,2.5,3.5355339059327378,60.0,0.0,5
7.0,44.0,1.5811388300841898,36.0,53.665631459994955,0.6,0.8944271909999159,0.6,0.8944271909999159,7.6,2.3021728866442674,0.6,0.8944271909999159,0.001,0.00149071198499986,1.5,2.23606797749979,60.0,0.0,5
7.25,44.0,1.5811388300841898,36.0,53.665631459994955,0.6,0.8944271909999159,0.6,0.8944271909999159,7.6,2.3021728866442674,0.6,0.8944271909999159,0.001,0.00149071198499986,1.5,2.23606797749979,60.0,0.0,5
7.5,44.0,1.5811388300841898,36.0,53.665631459994955,0.6,0.8944271909999159,0.6,0.8944271909999159,7.6,2.3021728866442674,0.6,0.8944271909999159,0.001,0.00149071198499986,1.5,2.23606797749979,60.0,0.0,5
7.75,44.0,1.5811388300841898,24.0,53.665631459994955,0.4,0.894427190999916,0.4,0.894427190999916,7.6,2.3021728866442674,0.4,0.894427190999916,0.0006666666666666668,0.00149071198499986,1.0,2.23606797749979,60.0,0.0,5
8.0,44.0,1.5811388300841898,12.0,26.832815729997478,0.2,0.447213595499958,0.2,0.447213595499958,7.6,2.3021728866442674,0.2,0.447213595499958,0.0003333333333333334,0.00074535599249993,0.5,1.118033988749895,60.0,0.0,5
