seed,duration_s,artifact_count,threshold,false_alarm_events,false_alarms_per_hour,positive_windows
44,60.0,8,0.6,2,120.0,3
44,60.0,8,0.62,2,120.0,3
44,60.0,8,0.64,1,60.0,1
44,60.0,8,0.66,1,60.0,1
44,60.0,8,0.68,0,0.0,0
44,60.0,8,0.7,0,0.0,0
44,60.0,8,0.72,0,0.0,0
44,60.0,8,0.74,0,0.0,0
44,60.0,8,0.76,0,0.0,0
44,60.0,8,0.78,0,0.0,0
44,60.0,8,0.8,0,0.0,0
44,60.0,8,0.82,0,0.0,0
44,60.0,8,0.84,0,0.0,0
44,60.0,8,0.86,0,0.0,0
44,60.0,8,0.88,0,0.0,0
44,60.0,8,0.9,0,0.0,0
44,60.0,8,0.92,0,0.0,0
44,60.0,8,0.94,0,0.0,0
44,60.0,8,0.96,0,0.0,0
44,60.0,8,0.98,0,0.0,0
44,60.0,8,1.0,0,0.0,0
45,60.0,8,0.0,1,60.0,1191
45,60.0,8,0.02,30,1800.0,738
45,60.0,8,0.04,43,2580.0,538
45,60.0,8,0.06,47,2820.0,400
45,60.0,8,0.08,52,3120.0,320
45,60.0,8,0.1,56,3360.0,272
45,60.0,8,0.12,52,3120.0,229
45,60.0,8,0.14,47,2820.0,198
45,60.0,8,0.140717,47,2820.0,197
45,60.0,8,0.16,43,2580.0,170
45,60.0,8,0.18,40,2400.0,148
45,60.0,8,0.2,36,2160.0,124
45,60.0,8,0.22,36,2160.0,107
45,60.0,8,0.24,31,1860.0,89
45,60.0,8,0.26,26,1560.0,66
45,60.0,8,0.28,26,1560.0,52
45,60.0,8,0.3,22,1320.0,41
45,60.0,8,0.32,18,1080.0,31
45,60.0,8,0.34,15,900.0,24
45,60.0,8,0.36,12,720.0,18
45,60.0,8,0.38,11,660.0,15
45,60.0,8,0.4,10,600.0,13
45,60.0,8,0.42,6,360.0,9
45,60.0,8,0.44,4,240.0,7
45,60.0,8,0.46,3,180.0,5
45,60.0,8,0.48,3,180.0,5
45,60.0,8,0.5,2,120.0,4
45,60.0,8,0.52,1,60.0,2
45,60.0,8,0.54,1,60.0,2
45,60.0,8,0.56,1,60.0,1
45,60.0,8,0.58,1,60.0,1
45,60.0,8,0.6,1,60.0,1
45,60.0,8,0.62,1,60.0,1
45,60.0,8,0.64,0,0.0,0
45,60.0,8,0.66,0,0.0,0
45,60.0,8,0.68,0,0.0,0
45,60.0,8,0.7,0,0.0,0
45,60.0,8,0.72,0,0.0,0
45,60.0,8,0.74,0,0.0,0
45,60.0,8,0.76,0,0.0,0
45,60.0,8,0.78,0,0.0,0
45,60.0,8,0.8,0,0.0,0
45,60.0,8,0.82,0,0.0,0
45,60.0,8,0.84,0,0.0,0
45,60.0,8,0.86,0,0.0,0
45,60.0,8,0.88,0,0.0,0
45,60.0,8,0.9,0,0.0,0
45,60.0,8,0.92,0,0.0,0
45,60.0,8,0.94,0,0.0,0
45,60.0,8,0.96,0,0.0,0
45,60.0,8,0.98,0,0.0,0
45,60.0,8,1.0,0,0.0,0
46,60.0,5,0.0,1,60.0,1191
46,60.0,5,0.02,29,1740.0,769
46,60.0,5,0.04,48,2880.0,543
46,60.0,5,0.06,45,2700.0,410
46,60.0,5,0.08,48,2880.0,342
46,60.0,5,0.1,48,2880.0,286
46,60.0,5,0.12,45,2700.0,238
46,60.0,5,0.14,45,2700.0,205
46,60.0,5,0.140717,45,2700.0,202
46,60.0,5,0.16,41,2460.0,173
46,60.0,5,0.18,39,2340.0,153
46,60.0,5,0.2,37,2220.0,134
46,60.0,5,0.22,32,1920.0,116
46,60.0,5,0.24,29,1740.0,96
46,60.0,5,0.26,27,1620.0,86
46,60.0,5,0.28,24,1440.0,78
46,60.0,5,0.3,21,1260.0,67
46,60.0,5,0.32,18,1080.0,58
46,60.0,5,0.34,14,840.0,45
46,60.0,5,0.36,14,840.0,43
46,60.0,5,0.38,13,780.0,40
46,60.0,5,0.4,11,660.0,32
46,60.0,5,0.42,11,660.0,24
46,60.0,5,0.44,10,600.0,23
46,60.0,5,0.46,9,540.0,20
46,60.0,5,0.48,9,540.0,16
46,60.0,5,0.5,7,420.0,13
46,60.0,5,0.52,6,360.0,11
46,60.0,5,0.54,6,360.0,11
46,60.0,5,0.56,6,360.0,11
46,60.0,5,0.58,4,240.0,9
