row,label,center_s,start_s,end_s,record_id,record_type,seed,mean,std,variance,rms,abs_mean,ptp,minimum,maximum,skew,kurtosis,line_length,diff_std,max_abs_diff,zero_crossing_rate,slope,energy,band_delta_0p5_4_hz,band_theta_4_8_hz,band_alpha_8_13_hz,band_beta_13_30_hz,band_gamma_30_80_hz,band_10_40_hz,high_to_low_power_ratio,spectral_entropy,dominant_freq_hz
0,0,0.2495,0.0,0.499,strong_runaway_seed_42,strong_runaway,42,-0.03716651177376901,1.388704139900765,1.9284991881775233,1.3892014028840285,0.8079186244740021,12.94385225762657,-5.672514860078962,7.271337397547608,2.184474918001254,12.76820460819488,196.133112246576,0.31555849412987097,2.5296380271378736,0.09018036072144289,-0.7828266058546667,1.929880537774953,0.0,0.02965564845338155,0.008890597583901955,0.03474856582992589,0.08024719058872268,0.07718160564294027,1.535656193471304,0.6206913253843008,4.0000000000004405
1,0,0.29950000000000004,0.05,0.549,strong_runaway_seed_42,strong_runaway,42,-0.10774375031965588,0.7237919207739997,0.5238747445777158,0.7317673539525114,0.5722795955218288,4.2134239867957035,-2.1529002800757944,2.060523706719909,0.035506671013733705,0.11068191778721026,169.57390193265107,0.2102470410840149,0.7140480347857674,0.10020040080160321,-0.388515008002649,0.5354834603106601,0.0,0.02881229425542384,0.014729852905271422,0.0457822401285315,0.09542437172632187,0.09036483597115551,1.7488672445066042,0.644822128437701,4.0000000000004405
2,0,0.3495,0.1,0.599,strong_runaway_seed_42,strong_runaway,42,-0.08362415040262956,0.6974537650057432,0.4864417543206864,0.702449110506411,0.5539202827810147,4.024114306725126,-2.1529002800757944,1.8712140266493316,-0.07694695868374757,-0.10773599095911246,164.93546860699897,0.20379589958701896,0.7140480347857674,0.09819639278557114,0.26098993101116813,0.49343475285124805,0.0,0.0217589009998977,0.018777273014913977,0.07036899860587836,0.10552221702870063,0.11696948875253618,2.590161813612031,0.6607942004345326,4.0000000000004405
3,0,0.3995,0.15,0.649,strong_runaway_seed_42,strong_runaway,42,-0.06949053189504627,0.7279247001115309,0.5298743690324622,0.7312340959333876,0.5775281927738269,4.024114306725126,-2.1529002800757944,1.8712140266493316,0.025697675819132192,-0.19788753391620872,166.92519328102324,0.20772801807539729,0.7140480347857674,0.08817635270541083,0.7907725514042533,0.5347033030555187,0.0,0.012413730025138904,0.01967127717987325,0.09117586151151498,0.1003019418436378,0.13716816154643535,4.034818194256146,0.6547487727971728,18.000000000001982
4,0,0.4495,0.2,0.6990000000000001,strong_runaway_seed_42,strong_runaway,42,-0.06569970482361787,0.7684699564842624,0.5905460740189242,0.7712733142231972,0.6041477104883346,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.2809509629290415,0.30234207328160423,177.86988923024361,0.2282689441175571,0.8508870484346679,0.08817635270541083,0.4906121707646549,0.5948625252328348,0.0,0.006531220452071959,0.021301418142996912,0.0945896834335505,0.08803443155390818,0.14344280433989098,4.841333805522852,0.6486458568283963,26.000000000002863
5,0,0.4995,0.25,0.749,strong_runaway_seed_42,strong_runaway,42,-0.08066249050547057,0.7749541673579842,0.6005539615055066,0.7791408081213893,0.6144527776643703,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.24430485931743043,0.2215857612260157,180.68140086988942,0.2301146981364119,0.8508870484346679,0.08817635270541083,-0.8385727559179657,0.6070603988800516,0.0,0.006982161184076792,0.026114256971185027,0.08693672323553238,0.08301470482127096,0.1457949844053301,3.735787277638902,0.6460191693852011,26.000000000002863
6,0,0.5495,0.3,0.799,strong_runaway_seed_42,strong_runaway,42,-0.07548165047165495,0.7854034028056973,0.6168585051387684,0.7890221699652638,0.6313939370733046,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.22902783328724052,0.11720030401411918,187.22745512552916,0.23648651397371132,0.8508870484346679,0.0841683366733467,-0.6493330161370752,0.6225559846966935,0.0,0.011830026533483187,0.030576155546685517,0.0887158807503614,0.0880922270159098,0.15610906440475167,2.872342351299376,0.6345033347531718,26.000000000002863
7,0,0.5995,0.35000000000000003,0.849,strong_runaway_seed_42,strong_runaway,42,-0.10317831624085164,0.7775299329775075,0.6045527966760074,0.7843459451149758,0.6211905850776632,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.1479049554565204,0.2092237887177011,182.29540234934962,0.23261171856204413,0.8508870484346679,0.08817635270541083,0.8029223974462626,0.6151985616183046,0.0,0.01666289393296817,0.0295900445002295,0.10262740336355403,0.09352574795293807,0.16834145650442633,2.817724293298079,0.6378610015063596,26.000000000002863
8,0,0.6495,0.4,0.899,strong_runaway_seed_42,strong_runaway,42,-0.05747391362336882,0.764834863307898,0.5849723681312109,0.7669912769245798,0.6153023908876177,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.08815902894886352,0.14271289450348368,177.3349204132637,0.22406268183635603,0.8508870484346679,0.0841683366733467,0.6405632928739715,0.5882756188783974,0.0,0.018331665618989825,0.023107632092180592,0.10827587779858079,0.09581285168257858,0.16583751432315055,3.2046771522979283,0.6419553682708875,24.000000000002643
9,0,0.6995,0.45,0.9490000000000001,strong_runaway_seed_42,strong_runaway,42,0.02663736935651857,0.7588851188510607,0.5759066236135886,0.7593524695816983,0.6141161851088845,4.730667657274388,-2.8594536306250564,1.8712140266493316,-0.26585260211242095,0.20903281416665997,171.64524614932986,0.2197858932521969,0.8508870484346679,0.09218436873747494,1.1936765820084259,0.5766161730598242,0.0,0.018361965238706944,0.015938667307924266,0.0908157150893279,0.09886805329115948,0.14631833278117845,3.158463654128201,0.6470548825717126,4.0000000000004405
